cell_name,area,leakage_power,n_inputs,n_outputs,cap1,cap2,cap3,cap4,cap5,delay_p1,ld_s_p1,delay_s_p1,ld_m_p1,delay_m_p1,ld_l_p1,delay_l_p1,delay_p2,ld_s_p2,delay_s_p2,ld_m_p2,delay_m_p2,ld_l_p2,delay_l_p2,delay_p3,ld_s_p3,delay_s_p3,ld_m_p3,delay_m_p3,ld_l_p3,delay_l_p3,delay_p4,ld_s_p4,delay_s_p4,ld_m_p4,delay_m_p4,ld_l_p4,delay_l_p4,delay_p5,ld_s_p5,delay_s_p5,ld_m_p5,delay_m_p5,ld_l_p5,delay_l_p5,delay_all,delay_avg
AO211x2_ASAP7_75t_R,3.732,2513.770,4,1,0.606,0.620,0.566,0.566,0.000,30.998,1.747,37.336,1.753,45.605,1.776,61.345,31.779,1.785,37.277,1.795,44.389,1.819,58.564,28.650,1.622,35.682,1.629,44.669,1.651,61.667,26.565,1.620,33.828,1.627,42.676,1.646,59.378,0.000,0.000,0.000,0.000,0.000,0.000,0.000,117.992,29.498
AO21x1_ASAP7_75t_R,1.400,1595.550,3,1,0.381,0.375,0.382,0.000,0.000,25.353,2.162,30.485,2.172,37.445,2.194,50.593,24.520,2.132,29.783,2.139,36.720,2.158,49.766,24.734,2.165,30.321,2.174,37.325,2.196,50.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,74.607,24.869
AO21x2_ASAP7_75t_R,1.633,2239.390,3,1,0.381,0.375,0.381,0.000,0.000,25.353,1.090,32.918,1.094,41.469,1.107,57.760,24.520,1.075,32.704,1.078,41.629,1.090,58.279,24.734,1.088,32.020,1.091,40.348,1.104,56.261,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,74.607,24.869
AO221x1_ASAP7_75t_R,2.333,1552.630,5,1,0.322,0.315,0.336,0.324,0.323,35.575,1.854,39.960,1.861,48.482,1.887,64.928,36.276,1.817,39.894,1.824,47.366,1.849,62.405,31.411,1.933,36.478,1.943,45.295,1.970,62.021,31.934,1.870,36.277,1.879,44.548,1.902,60.694,31.226,1.854,36.578,1.861,45.176,1.883,61.803,166.422,33.284
AO221x2_ASAP7_75t_R,2.566,2148.910,5,1,0.322,0.315,0.336,0.324,0.323,35.575,0.942,44.260,0.944,53.788,0.958,73.024,36.276,0.924,44.189,0.926,52.405,0.939,69.718,31.411,0.982,40.947,0.986,51.612,0.999,72.286,31.934,0.950,40.676,0.952,50.346,0.966,69.844,31.226,0.939,39.981,0.941,49.906,0.954,69.467,166.422,33.284
AO222x2_ASAP7_75t_R,5.132,3577.280,6,1,0.605,0.592,0.631,0.607,0.641,38.154,1.760,44.909,1.764,54.457,1.789,73.617,38.678,1.722,44.590,1.728,52.741,1.752,69.560,35.672,1.831,42.592,1.838,52.275,1.865,71.431,36.037,1.761,42.145,1.768,50.645,1.794,68.011,31.502,1.855,38.772,1.864,48.402,1.892,66.761,211.923,35.320
AO22x1_ASAP7_75t_R,2.100,1510.100,4,1,0.287,0.288,0.287,0.278,0.000,29.409,1.643,35.487,1.648,43.420,1.670,59.019,28.738,1.651,35.470,1.658,44.029,1.679,60.418,27.921,1.644,34.568,1.651,43.181,1.673,59.594,26.926,1.590,34.136,1.599,43.101,1.619,59.874,0.000,0.000,0.000,0.000,0.000,0.000,0.000,112.993,28.248
AO22x2_ASAP7_75t_R,2.333,2634.720,4,1,0.380,0.385,0.381,0.375,0.000,29.409,1.093,35.709,1.096,43.968,1.111,60.343,28.738,1.106,35.736,1.111,44.739,1.126,62.021,27.921,1.096,34.805,1.100,43.825,1.114,61.249,26.926,1.078,34.570,1.083,44.123,1.097,61.979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,112.993,28.248
AO31x2_ASAP7_75t_R,3.732,2994.600,4,1,0.739,0.745,0.733,0.575,0.000,26.155,2.111,32.189,2.121,39.213,2.144,52.673,27.654,2.126,33.276,2.136,40.108,2.162,53.477,28.327,2.094,33.513,2.103,39.994,2.129,52.570,26.664,1.647,34.501,1.654,44.293,1.677,62.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,108.801,27.200
AO322x2_ASAP7_75t_R,3.499,2678.220,7,1,0.384,0.375,0.359,0.335,0.318,41.750,1.131,48.115,1.134,57.503,1.149,76.845,43.443,1.108,49.226,1.110,57.678,1.125,75.816,44.561,1.062,49.694,1.063,57.184,1.077,73.353,41.717,0.994,48.817,0.995,59.679,1.010,82.451,42.133,0.943,48.444,0.945,57.976,0.959,78.731,290.485,41.498
