node_id,c1,c2,c3,c4,c5,nleaves,nvolume,p1_nleaves,p2_nleaves,p1_nvolume,p2_nvolume,max_level,min_level,level_gap,max_fanout,min_fanout,fanout_gap,cell_name,s_delay_r,s_delay_f,s_area,s_f1_delay,s_f2_delay,s_f3_delay,s_f4_delay,s_f5_delay,s_f6_delay,phase
4,0,1,-1,-1,-1,2,1,0,1,0,0,0.000,0.000,0.000,2.000,2.000,0.000,NAND2xp33_ASAP7_75t_R,17.670,17.670,0.930,35.340,33.900,0.000,0.000,0.000,0.000,0
4,0,1,-1,-1,-1,2,1,0,1,0,0,0.000,0.000,0.000,2.000,2.000,0.000,OR2x4_ASAP7_75t_R,27.880,27.880,1.870,55.760,54.540,0.000,0.000,0.000,0.000,0
4,0,1,-1,-1,-1,2,1,0,1,0,0,0.000,0.000,0.000,2.000,2.000,0.000,NOR2xp33_ASAP7_75t_R,18.620,18.620,0.930,37.240,35.500,0.000,0.000,0.000,0.000,1
4,0,1,-1,-1,-1,2,1,0,1,0,0,0.000,0.000,0.000,2.000,2.000,0.000,AND2x2_ASAP7_75t_R,24.280,24.280,1.400,48.560,47.020,0.000,0.000,0.000,0.000,1
5,0,1,-1,-1,-1,2,1,1,0,0,0,0.000,0.000,0.000,2.000,2.000,0.000,NAND2xp33_ASAP7_75t_R,17.670,17.670,0.930,35.340,33.900,0.000,0.000,0.000,0.000,0
5,0,1,-1,-1,-1,2,1,1,0,0,0,0.000,0.000,0.000,2.000,2.000,0.000,OR2x4_ASAP7_75t_R,27.880,27.880,1.870,55.760,54.540,0.000,0.000,0.000,0.000,0
5,0,1,-1,-1,-1,2,1,1,0,0,0,0.000,0.000,0.000,2.000,2.000,0.000,NOR2xp33_ASAP7_75t_R,18.620,18.620,0.930,37.240,35.500,0.000,0.000,0.000,0.000,1
5,0,1,-1,-1,-1,2,1,1,0,0,0,0.000,0.000,0.000,2.000,2.000,0.000,AND2x2_ASAP7_75t_R,24.280,24.280,1.400,48.560,47.020,0.000,0.000,0.000,0.000,1
6,0,1,-1,-1,-1,2,3,1,1,0,0,0.000,0.000,0.000,2.000,2.000,0.000,XOR2x2_ASAP7_75t_R,35.640,35.640,2.570,71.280,70.720,0.000,0.000,0.000,0.000,0
6,0,1,-1,-1,-1,2,3,1,1,0,0,0.000,0.000,0.000,2.000,2.000,0.000,XNOR2x2_ASAP7_75t_R,35.900,35.900,2.570,71.800,70.600,0.000,0.000,0.000,0.000,0
6,0,1,-1,-1,-1,2,3,1,1,0,0,0.000,0.000,0.000,2.000,2.000,0.000,XOR2x2_ASAP7_75t_R,35.640,35.640,2.570,71.280,70.720,0.000,0.000,0.000,0.000,1
6,0,1,-1,-1,-1,2,3,1,1,0,0,0.000,0.000,0.000,2.000,2.000,0.000,XNOR2x2_ASAP7_75t_R,35.900,35.900,2.570,71.800,70.600,0.000,0.000,0.000,0.000,1
6,4,5,-1,-1,-1,2,1,0,0,0,0,0.333,0.333,0.000,1.000,1.000,0.000,NAND2xp33_ASAP7_75t_R,17.670,17.670,0.930,35.340,33.900,0.000,0.000,0.000,0.000,0
6,4,5,-1,-1,-1,2,1,0,0,0,0,0.333,0.333,0.000,1.000,1.000,0.000,OR2x4_ASAP7_75t_R,27.880,27.880,1.870,55.760,54.540,0.000,0.000,0.000,0.000,0
6,4,5,-1,-1,-1,2,1,0,0,0,0,0.333,0.333,0.000,1.000,1.000,0.000,NOR2xp33_ASAP7_75t_R,18.620,18.620,0.930,37.240,35.500,0.000,0.000,0.000,0.000,1
6,4,5,-1,-1,-1,2,1,0,0,0,0,0.333,0.333,0.000,1.000,1.000,0.000,AND2x2_ASAP7_75t_R,24.280,24.280,1.400,48.560,47.020,0.000,0.000,0.000,0.000,1
7,2,3,-1,-1,-1,2,1,1,1,0,0,0.000,0.000,0.000,1.000,1.000,0.000,NAND2xp33_ASAP7_75t_R,17.670,17.670,0.930,35.340,33.900,0.000,0.000,0.000,0.000,0
7,2,3,-1,-1,-1,2,1,1,1,0,0,0.000,0.000,0.000,1.000,1.000,0.000,OR2x4_ASAP7_75t_R,27.880,27.880,1.870,55.760,54.540,0.000,0.000,0.000,0.000,0
7,2,3,-1,-1,-1,2,1,1,1,0,0,0.000,0.000,0.000,1.000,1.000,0.000,NOR2xp33_ASAP7_75t_R,18.620,18.620,0.930,37.240,35.500,0.000,0.000,0.000,0.000,1
7,2,3,-1,-1,-1,2,1,1,1,0,0,0.000,0.000,0.000,1.000,1.000,0.000,AND2x2_ASAP7_75t_R,24.280,24.280,1.400,48.560,47.020,0.000,0.000,0.000,0.000,1
8,6,7,-1,-1,-1,2,1,1,0,0,0,0.667,0.333,0.333,1.000,1.000,0.000,NAND2xp33_ASAP7_75t_R,17.670,17.670,0.930,35.340,33.900,0.000,0.000,0.000,0.000,0
8,6,7,-1,-1,-1,2,1,1,0,0,0,0.667,0.333,0.333,1.000,1.000,0.000,OR2x4_ASAP7_75t_R,27.880,27.880,1.870,55.760,54.540,0.000,0.000,0.000,0.000,0
8,6,7,-1,-1,-1,2,1,1,0,0,0,0.667,0.333,0.333,1.000,1.000,0.000,NOR2xp33_ASAP7_75t_R,18.620,18.620,0.930,37.240,35.500,0.000,0.000,0.000,0.000,1
8,6,7,-1,-1,-1,2,1,1,0,0,0,0.667,0.333,0.333,1.000,1.000,0.000,AND2x2_ASAP7_75t_R,24.280,24.280,1.400,48.560,47.020,0.000,0.000,0.000,0.000,1
8,4,5,7,-1,-1,3,2,1,1,0,0,0.333,0.333,0.000,1.000,1.000,0.000,OAI21xp33_ASAP7_75t_R,21.020,21.020,1.170,42.040,40.120,34.280,0.000,0.000,0.000,0
